#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
7960,* m Cen,*,13,24,00.4826883840,-64,32,08.411490672,13,24,00.4872724379,-64,32,08.412853960,13,20,37.4639926976,-64,16,28.745873872,306.4250806766866,-01.8850510294615,28.959,-21.326,12.89,5.85,5.35,4.52,~,4.294,~,G5IIb
7961,HD 116457,PM*,13,25,13.9265067624,-64,29,06.537071112,13,25,13.9310848578,-64,29,06.538317737,13,21,51.7345336848,-64,13,28.785748244,306.5622457893945,-01.8518684310560,-154.830,-21.523,26.26,5.72,5.704,5.312,~,5.204,~,F3IV
7962,HD 117025,PM*,13,29,07.9098687240,-64,40,32.882662236,13,29,07.9144756651,-64,40,32.883536965,13,25,42.3773997573,-64,25,02.036750197,306.9505605275653,-02.0985677865365,-63.168,-6.641,10.03,6.23,6.20,6.07,~,6.096,~,ApSrEuCr
7963,HD 117651,*,13,33,35.8708435176,-65,37,57.671672700,13,33,35.8755902907,-65,37,57.672121225,13,30,05.1906930980,-65,22,33.388892539,307.2666156455132,-03.1163835040269,-36.438,-22.748,9.66,~,6.333,6.354,~,6.356,~,A0V
7964,HD 115149,PM*,13,16,44.9044614144,-65,08,17.733928668,13,16,44.9091223894,-65,08,17.735982946,13,13,25.7916603980,-64,52,25.760689975,305.5901229488153,-02.3972267260578,-98.116,-54.849,24.82,6.51,6.50,6.08,~,5.949,~,F4V
7965,HD 120913,*,13,54,49.1103796200,-67,39,07.565364576,13,54,49.1154455313,-67,39,07.563788391,13,50,59.0895857486,-67,24,23.414923387,308.9188170705576,-05.5200617580937,-17.578,-15.424,3.48,~,7.199,5.705,~,5.209,~,K2III
7966,HD 120404,*,13,51,47.4341580024,-69,24,04.528891980,13,51,47.4395592680,-69,24,04.527604274,13,47,52.1859384624,-69,09,14.755134698,308.2278084510486,-07.1524130614932,3.978,-2.243,3.38,~,7.459,5.727,~,4.940,~,K5/M0III
7967,HD 118344,PM*,13,38,45.7158662640,-70,26,41.392592772,13,38,45.7214998663,-70,26,41.392548271,13,34,55.9945729119,-70,11,25.380786565,306.9050842689848,-07.9390133253104,-66.167,-32.342,6.91,~,7.527,6.097,~,5.627,~,K3III
7968,HD 123377,*,14,10,30.9008612160,-70,18,19.659939912,14,10,30.9064231621,-70,18,19.656873811,14,06,18.6170768660,-70,04,10.126983294,309.5493569632001,-08.4563748164690,-6.094,-4.539,1.16,~,7.783,6.040,~,5.333,~,K4II
7969,HD 131551,*,14,59,55.7596907016,-75,01,57.612463680,14,59,55.7663316021,-75,01,57.604833244,14,54,28.6798251541,-74,49,58.983876334,311.0769360806399,-14.2318792976567,-5.659,-20.787,6.20,~,6.143,6.187,~,6.186,~,B9V
7970,HD 129899,a2*,14,51,30.0361856688,-77,10,33.495169116,14,51,30.0437966652,-77,10,33.488297914,14,45,41.0958121114,-76,58,09.590633338,309.5606208534838,-15.8763808156323,-14.060,-10.327,3.51,~,6.41,6.44,~,6.418,~,ApSi
7971,HD 131425,*,15,00,11.3018082168,-77,09,37.986351480,15,00,11.3093311210,-77,09,37.978697869,14,54,14.5692522446,-76,57,39.882333753,310.0089349497980,-16.0935037522947,-13.997,-10.915,3.53,~,6.973,5.920,~,5.634,~,G8II
7972,* R Aps,PM*,14,57,52.9835186424,-76,39,45.556897968,14,57,52.9908312332,-76,39,45.549450944,14,52,06.7921491888,-76,27,40.450582787,310.1436091652017,-15.5953636916466,-69.161,-16.583,7.89,~,6.811,5.359,~,4.848,~,K4III:
7973,HD 128294,*,14,41,59.7097819248,-77,00,41.226010272,14,41,59.7173903832,-77,00,41.220006387,14,36,22.3802588367,-76,47,50.246417907,309.1432965692785,-15.4925703323471,-21.428,-12.249,5.27,~,6.31,6.34,~,6.320,~,B9III
7974,HD 138289,PM*,15,39,18.3971214240,-77,55,04.819554696,15,39,18.4045350785,-77,55,04.808530246,15,32,35.1176785323,-77,45,08.727396840,311.3901488877198,-17.9011408744902,-79.376,-130.969,9.08,~,7.431,6.181,~,5.860,~,K2.5IIIbCN1.5Ba+0.5
7975,* del01 Aps,LP?,16,20,20.8046247,-78,41,44.688944,16,20,20.8116996,-78,41,44.674729,16,12,47.9940421,-78,34,25.478695,312.4161137415,-19.8938638763,-10.23,-37.43,4.28,8.06,6.37,4.68,~,3.236,~,M4III
7976,* del02 Aps,*,16,20,26.8576293624,-78,40,02.985710376,16,20,26.8646879461,-78,40,02.971488165,16,12,54.5961768379,-78,32,44.482083580,312.4420843716602,-19.8788245553845,-1.817,-31.511,5.80,~,6.664,5.247,~,4.764,~,K3III
7977,* gam Aps,PM*,16,33,27.0837870,-78,53,49.737204,16,33,27.0906799,-78,53,49.722062,16,25,42.6399066,-78,47,20.434768,312.6878368002,-20.5107784119,-125.51,-78.25,20.87,~,4.783,3.854,~,3.520,~,G8III
7978,V* NO Aps,LP*,17,31,27.4666578288,-80,51,32.876056836,17,31,27.4729497856,-80,51,32.857441334,17,22,03.6870003757,-80,49,05.681057735,312.3146645838976,-23.6937543816712,-3.662,-43.943,4.15,~,7.464,5.856,~,4.698,~,M3III
7979,HD 162337,PM*,18,05,26.8552529088,-81,29,11.636771676,18,05,26.8606205846,-81,29,11.616661012,17,55,25.9440835424,-81,29,11.039435814,312.1527277241876,-25.1314948561976,28.344,-48.347,3.30,~,7.880,6.350,~,5.782,~,K3/4III
7980,HD 167714,PM*,18,29,19.9439629824,-80,13,57.745217820,18,29,19.9480013618,-80,13,57.724319081,18,20,20.0311375402,-80,15,42.955628614,313.7396697039934,-25.7747277928535,-22.298,-63.166,9.08,~,7.133,5.946,~,5.616,~,K2III
7981,* mu.01 Oct,PM*,20,42,02.9872592976,-76,10,50.131416396,20,42,02.9871574239,-76,10,50.110375645,20,35,56.2042364545,-76,21,30.607532133,317.5076332983778,-32.7822929296527,190.891,-9.479,9.74,~,6.430,5.977,~,5.873,~,F6II/III
7982,* alf Oct,EB*,21,04,43.0626765409,-77,01,25.566080008,21,04,43.0618721526,-77,01,25.545735447,20,58,43.9948024959,-77,13,01.283185125,315.9585510939306,-33.6498871520123,12.985,-369.816,22.18,~,5.64,5.15,~,4.964,~,F6(m)pec
7983,HD 206399,*,21,45,28.8287658432,-71,00,31.858979544,21,45,28.8280591023,-71,00,31.840381454,21,41,05.0957081053,-71,14,20.645480097,320.6350446617270,-39.0918634295438,13.125,-11.785,4.52,~,5.915,6.011,~,6.007,~,B8IV
7984,* omi Ind,*,21,50,47.1751239720,-69,37,45.746495544,21,50,47.1745038430,-69,37,45.728169333,21,46,35.4362800801,-69,51,47.935909173,321.7963744046354,-40.2334006360444,-24.451,-4.913,6.15,~,6.903,5.505,~,5.050,~,K2/3III
7985,HD 212728,PM*,22,28,37.6704330816,-67,29,20.619424428,22,28,37.6695779507,-67,29,20.603312786,22,24,58.3829693735,-67,44,37.812695374,321.1107146383744,-44.2621174297614,150.708,-71.383,22.90,~,5.757,5.564,~,5.523,~,A3/5V
7986,* nu. Tuc,LP?,22,33,00.0623966,-61,58,55.639006,22,33,00.0620300,-61,58,55.623180,22,29,38.3464660,-62,14,23.040271,326.5768962129,-48.2995376815,40.07,-20.17,11.24,8.17,6.42,4.81,~,3.611,~,M4III
7987,HD 215121,**,22,44,16.4791985856,-60,29,58.621777476,22,44,16.4788551298,-60,29,58.606713461,22,41,03.3631390690,-60,45,45.641094933,326.8925437432464,-50.2977462728105,3.311,20.456,6.20,~,6.857,6.298,~,6.149,~,G5/K0III+A7/9
7988,HD 216169,*,22,51,44.9544313872,-59,52,52.973496948,22,51,44.9540786549,-59,52,52.958958476,22,48,36.6797043219,-60,08,49.220740322,326.5836373047138,-51.3963651444596,-36.315,-2.519,7.81,~,7.610,6.454,~,6.166,~,K1IIICNII
7989,* zet Gru,PM*,23,00,52.8075557832,-52,45,14.799088368,23,00,52.8075988266,-52,45,14.785212820,22,57,56.3086806104,-53,01,21.597056607,334.1114168735445,-57.1579330866823,-64.223,-17.832,19.91,~,5.086,4.115,~,3.842,~,K1IIIFe-1.2CN-0.5
7990,* kap Gru,PM*,23,04,39.6276709728,-53,57,53.647724016,23,04,39.6276263092,-53,57,53.634129437,23,01,42.8790087064,-54,14,00.222198500,331.7658414768326,-56.7716833236657,57.129,-106.006,7.96,~,6.834,5.363,~,4.774,~,K5III
7991,HD 218269,*,23,07,14.7743611128,-50,41,12.065595576,23,07,14.7744794365,-50,41,12.052195317,23,04,21.9777047696,-50,57,25.440655770,335.8940464984114,-59.2470292547974,-35.336,-24.853,24.33,~,6.68,6.24,~,6.135,~,F5.5IV-V
7992,HD 218255,*,23,07,09.4404494664,-49,36,22.079580192,23,07,09.4406211682,-49,36,22.066173223,23,04,17.1068440478,-49,52,36.649277233,337.5605716925453,-59.9223655745480,8.771,0.890,3.63,~,7.760,6.310,~,5.825,~,K4III
7993,HD 219507,*,23,16,39.7909488720,-44,29,20.988938904,23,16,39.7913075680,-44,29,20.976260554,23,13,53.2124533543,-44,45,43.994962962,344.2755711392695,-64.2800854549772,3.732,-9.216,10.19,~,6.982,5.918,~,5.638,~,K1III
7994,* e Cen,PM*,12,53,06.9063292060,-48,56,35.926377300,12,53,06.9094982382,-48,56,35.930663183,12,50,16.4753749867,-48,40,17.587189572,303.2156630267022,+13.9275106999578,-79.450,-24.729,10.33,7.28,5.70,4.33,3.35,3.871,2.60,K3/4III
7995,* ksi01 Cen,*,13,03,33.3051109488,-49,31,38.148894300,13,03,33.3083276891,-49,31,38.152198593,13,00,38.9288997748,-49,15,31.649953895,304.9518405629038,+13.2969548694263,-47.858,-11.496,14.83,~,4.844,4.826,~,4.810,~,A0V
7996,* ksi02 Cen,SB*,13,06,54.6393973,-49,54,22.482324,13,06,54.6426405,-49,54,22.485311,13,03,58.7628127,-49,38,19.969871,305.4864878660,+12.8887410226,-26.15,-12.03,6.98,3.29,4.08,4.27,~,4.204,~,B3V
7997,V* V1154 Cen,LP*,13,05,30.7780577640,-52,06,56.378405700,13,05,30.7814402459,-52,06,56.381525083,13,02,33.7260314538,-51,50,53.206541475,305.1300535273850,+10.6960044418198,-51.649,9.252,2.90,~,8.082,6.418,~,5.585,~,M1III
7998,V* V824 Cen,a2*,13,10,58.4324574120,-52,34,00.832901520,13,10,58.4358762969,-52,34,00.835503995,13,07,58.9278642466,-52,18,03.127588220,305.9459038870989,+10.1904860327415,-34.764,-18.017,9.23,~,5.943,6.026,~,6.028,~,ApSi
7999,HD 113902,*,13,07,38.2846328832,-53,27,35.149793112,13,07,38.2881105215,-53,27,35.152711535,13,04,39.1972340875,-53,11,33.028529845,305.3743364122511,+09.3351402512586,-37.952,-21.282,10.30,~,5.629,5.698,~,5.685,~,B8/9V
8000,HD 115842,Em*,13,20,48.3393402216,-55,48,02.482824528,13,20,48.3430072506,-55,48,02.484492838,13,17,41.4364603338,-55,32,19.464514260,307.0804237664073,+06.8343257990808,-3.614,3.595,0.58,5.70,6.39,6.09,5.77,5.928,5.52,B0.5Ia/ab
8001,HD 115778,*,13,20,35.0279845944,-59,46,22.016746596,13,20,35.0320075156,-59,46,22.018436025,13,17,22.9291950294,-59,30,37.918038394,306.5974404980188,+02.8913714600171,-31.088,-9.920,6.96,~,6.596,6.193,~,6.113,~,F3/5II
8002,HD 118261,**,13,37,12.38185,-61,41,30.7082,13,37,12.38608,-61,41,30.7083,13,33,47.64578,-61,26,07.9110,308.33031794,+00.69922911,147.12,-120.05,27.99,~,6.13,5.63,~,~,~,F6V
8003,V* V659 Cen,cC*,13,31,33.4105951824,-61,34,56.518628628,13,31,33.4148166889,-61,34,56.519271963,13,28,12.7403317671,-61,19,30.001451767,307.6867502911242,+00.9184500422374,-5.951,-1.502,0.89,7.57,7.19,6.49,~,6.475,~,F6/7Ib+B6V
8004,HD 121474,PM*,13,57,38.8835769912,-63,41,12.113940624,13,57,38.8880430747,-63,41,12.112095108,13,54,00.3498312873,-63,26,33.200790896,310.1904668644495,-01.7519285183989,-40.640,-33.433,15.29,~,5.802,4.701,~,4.399,~,K1.5IIIb:
8005,NGC 5281,OpC,13,46,27.4,-62,54,58,13,46,27.4,-62,54,58,13,42,56.3,-62,39,58,309.1470,-00.7100,-4.628,-2.389,0.60,~,6.15,5.9,~,~,~,~
8006,HD 118666,PM*,13,40,10.7077539336,-64,34,35.591942280,13,40,10.7123494744,-64,34,35.591762534,13,36,39.2850530000,-64,19,24.067576072,308.1346896394607,-02.1982907340366,-69.724,0.376,14.52,~,6.175,5.785,~,5.688,~,F2III/IV
8007,HD 121557,PM*,13,58,31.2367750512,-65,48,02.401652736,13,58,31.2415351583,-65,48,02.399724220,13,54,45.6857201282,-65,33,24.882705116,309.7397837305548,-03.8195114187845,-31.599,-39.988,6.85,~,7.31,6.24,7.32,5.938,~,K0III
8008,HD 121932,PM*,14,00,52.4447019120,-66,16,08.079784752,14,00,52.4495308279,-66,16,08.077632512,13,57,04.6621647051,-66,01,36.365424799,309.8481015458548,-04.3339885074812,-117.233,-24.549,13.81,~,6.300,5.948,~,5.878,~,F2III
8009,HD 124471,*,14,16,38.7150863616,-66,35,16.429048656,14,16,38.7199350994,-66,35,16.425404193,14,12,39.9338039957,-66,21,21.640651846,311.2646584942089,-05.1045665947129,-7.706,-6.359,2.10,4.82,5.69,5.75,~,5.709,~,B2III/IV
8010,HD 125835,*,14,25,06.3269534256,-68,11,43.201565484,14,25,06.3320506910,-68,11,43.197127203,14,20,55.5832587794,-67,58,09.351589838,311.4831196257585,-06.8925570318126,-7.861,-3.916,1.09,6.11,6.11,5.62,5.18,5.406,4.78,A1Iab/b
8011,HD 123492,*,14,11,01.8786405432,-69,43,09.534195876,14,11,01.8840747379,-69,43,09.531080975,14,06,52.5568017543,-69,29,00.530407176,309.7724641484204,-07.9116312144855,-31.938,-19.283,14.29,~,6.241,6.065,~,6.050,~,A6IV
8012,HD 130458,**,14,53,13.57117,-73,11,24.2613,14,53,13.57727,-73,11,24.2542,14,48,10.61701,-72,59,08.7885,311.56144410,-12.39267871,17.09,33.78,9.90,~,6.42,5.60,~,~,~,G7III
8013,HD 133981,*,15,12,33.9790754112,-72,46,14.163389652,15,12,33.9849137719,-72,46,14.154640566,15,07,22.4200818780,-72,34,55.860270200,313.0335781909647,-12.7284339693886,-14.107,-16.361,3.81,~,6.001,6.019,~,6.002,~,B8/9III
8014,* kap02 Aps,*,15,40,21.3550844640,-73,26,48.001931988,15,40,21.3608393834,-73,26,47.990821114,15,34,45.9067649231,-73,17,02.852338449,314.3362750851441,-14.4379596268940,-15.517,-26.408,4.56,5.23,5.61,5.65,~,5.612,~,B7III/IV
8015,* kap01 Aps,Be*,15,31,30.8221293192,-73,23,22.529543604,15,31,30.8279615086,-73,23,22.519168125,15,26,01.0003258273,-73,13,06.936410062,313.8530929036951,-14.0115470370709,0.996,-18.345,3.08,4.60,5.37,5.49,~,5.355,~,B2Vnpe
8016,HD 138867,*,15,41,54.6880594752,-76,04,55.071821100,15,41,54.6946371731,-76,04,55.060582532,15,35,42.3004882725,-75,55,13.601310707,312.7150036028364,-16.5627469938223,-12.407,-41.541,7.81,~,5.904,5.941,~,5.940,~,B9V
8017,* bet Aps,PM*,16,43,04.6585772236,-77,31,02.759334193,16,43,04.6646652803,-77,31,02.743541870,16,35,52.9819759594,-77,25,00.034682096,314.1735023200291,-20.0604468752479,-281.986,-354.837,20.95,~,5.30,4.24,~,3.925,~,K0III
8018,HD 161988,*,17,57,41.6857320504,-76,10,40.621841292,17,57,41.6897786353,-76,10,40.602033828,17,50,36.3902459994,-76,10,14.862886225,317.5719512598534,-23.1646749085523,1.608,-1.867,5.25,~,7.291,6.066,~,5.744,~,K2III
8019,HD 171990,PM*,18,47,49.1318977536,-77,52,05.703216132,18,47,49.1349070371,-77,52,05.681862769,18,40,09.8065103611,-77,55,24.352588051,316.4863253458616,-26.2856631744251,-26.256,148.730,23.04,~,6.974,6.392,~,6.254,~,F8V
8020,* mu.02 Oct,PM*,20,41,44.1016298400,-75,21,02.883008592,20,41,44.1016313744,-75,21,02.861959609,20,35,50.2824750633,-75,31,35.041687046,318.4441299241502,-33.0485254502758,156.404,-162.214,25.03,~,7.05,6.44,~,6.343,~,G0V
8021,HD 200525,**,21,09,22.4655980824,-73,10,22.140545077,21,09,22.4652579260,-73,10,22.120368417,21,04,11.1933328043,-73,22,12.116086838,320.0007637255029,-35.6145304913996,431.236,-388.926,46.99,~,6.25,5.67,~,5.513,~,F9.5V
8022,HD 203212,*,21,25,18.0466602072,-71,47,56.611414896,21,25,18.0461898331,-71,47,56.591874980,21,20,34.5935281798,-72,00,53.062971413,320.8390696692161,-37.3073961021737,18.316,5.544,6.38,~,7.367,6.090,~,5.699,~,K2III
8023,V* SX Pav,LP*,21,28,44.9248387,-69,30,19.389360,21,28,44.9245564,-69,30,19.369970,21,24,18.7218121,-69,43,23.078544,323.2234778651,-38.6529607375,82.51,-46.35,7.92,~,6.97,5.62,~,3.701,~,M5III
8024,V* Y Pav,C*,21,24,16.7499375384,-69,44,01.960245204,21,24,16.7497016167,-69,44,01.940661577,21,19,47.0927854233,-69,56,55.271388961,323.1957004303230,-38.2022374605528,9.575,-6.915,1.24,12.63,9.23,6.41,~,5.060,~,C7,3
8025,* omi Pav,V*,21,13,20.5042060488,-70,07,34.516955676,21,13,20.5041066283,-70,07,34.496928634,21,08,41.2934927802,-70,19,55.550914282,323.2662338627081,-37.1868064902265,42.561,-21.617,2.49,~,6.613,5.071,~,4.204,~,M1/2III
8026,* alf Tuc,SB*,22,18,30.0947834,-60,15,34.526307,22,18,30.0946670,-60,15,34.509557,22,15,05.6227407,-60,30,35.148185,330.2213868132,-47.9631052428,-70.72,-39.44,16.33,5.75,4.18,2.82,1.76,2.221,1.02,K3III
8027,HD 213884,PM*,22,35,52.9310826600,-57,53,01.504175028,22,35,52.9309833684,-57,53,01.488540053,22,32,39.5037721321,-58,08,34.221668727,331.1443974781408,-51.1671199964713,87.492,-9.476,14.26,~,6.425,6.224,~,6.197,~,A5V
8028,HD 214632,PM*,22,40,48.9170998344,-57,25,20.348818464,22,40,48.9169945165,-57,25,20.333516608,22,37,38.5104796049,-57,41,00.965913891,331.0704986992234,-51.9709794842270,55.756,-5.679,4.71,~,7.422,5.967,~,5.465,~,K3III
8029,* eta Gru,*,22,45,37.8819435648,-53,30,00.431531820,22,45,37.8820323018,-53,30,00.416562022,22,42,34.4273257680,-53,45,49.339325989,335.5995771963962,-54.9003667008907,30.717,17.334,7.21,~,6.019,4.846,~,4.464,~,K2IIICNIV
8030,* eps Gru,SB*,22,48,33.2980615128,-51,19,00.713323272,22,48,33.2982434880,-51,19,00.698558284,22,45,32.7063192813,-51,34,49.729485105,338.3048039380325,-56.5265010413937,107.195,-62.575,25.79,~,3.556,3.466,~,3.487,~,A2IVn
8031,HD 217403,PM*,23,01,07.5784812360,-50,57,00.102274452,23,01,07.5786161894,-50,57,00.088417087,22,58,11.7936898052,-51,13,08.082451864,336.6800129661176,-58.3317095403231,88.536,0.320,6.83,~,7.096,5.672,~,5.189,~,K3III
8032,* tau03 Gru,*,22,56,47.8002992088,-47,58,09.193451916,22,56,47.8005929339,-47,58,09.179277114,22,53,53.4158839709,-48,14,12.188760717,342.1710113169199,-59.4926768291557,-25.096,2.455,12.71,~,5.938,5.714,~,5.686,~,A4mA5-F2
8033,* iot Gru,SB*,23,10,21.5375522,-45,14,48.164650,23,10,21.5379035,-45,14,48.151486,23,07,32.1757187,-45,31,04.553250,344.2653773435,-62.9304745601,132.50,-26.66,17.80,~,4.877,3.877,~,3.516,~,K1III
8034,HD 114971,**,13,14,43.2669768240,-48,57,25.309605996,13,14,43.2701702481,-48,57,25.311852899,13,11,46.0640796921,-48,41,29.290077435,306.8628713561099,+13.7369261072395,-110.245,-85.610,13.14,~,6.906,5.831,~,5.557,~,K1III
8035,* f Cen,*,13,06,16.7041134,-48,27,47.845997,13,06,16.7072708,-48,27,47.849044,13,03,22.1416393,-48,11,44.421047,305.4702262808,+14.3353020940,-29.85,-15.17,8.36,4,4.552,4.691,~,4.636,~,B4V
8036,HD 116338,PM*,13,23,52.1144506728,-49,49,22.119065796,13,23,52.1177015654,-49,49,22.120442376,13,20,51.0664210163,-49,33,42.065380266,308.2839431402281,+12.7116263622632,-80.595,-31.679,8.04,~,7.430,6.464,~,6.238,~,G8III
8037,HD 115529,*,13,18,34.8654803640,-51,17,08.793437280,13,18,34.8688202515,-51,17,08.795317287,13,15,33.8313823603,-51,01,21.727808718,307.2547728227751,+11.3580041527195,-20.084,-14.082,5.54,~,6.163,6.173,~,6.175,~,A0V
8038,HD 114772,**,13,13,23.35287,-50,41,59.3747,13,13,23.35617,-50,41,59.3770,13,10,24.68717,-50,26,04.9466,306.48258736,+12.02052400,-32.34,-16.94,8.91,~,5.886,5.899,~,~,~,B9.5V
8039,V* V964 Cen,EB*,13,20,37.8253517448,-52,44,52.169369424,13,20,37.8287909802,-52,44,52.171054416,13,17,34.6421662415,-52,29,07.956278030,307.4084641614470,+09.8700009043852,-30.282,-16.303,8.39,4.79,5.314,5.443,~,5.434,~,B5III/IV
8040,HD 119159,*,13,42,56.1103365744,-56,46,04.686383280,13,42,56.1140893427,-56,46,04.685940358,13,39,38.9771849635,-56,30,58.244985710,309.9771277671017,+05.3977041591903,-7.560,-4.515,1.08,~,5.92,6.00,7.36,5.956,~,B1/2II
8041,HD 118520,**,13,38,48.9530492472,-57,37,21.776989440,13,38,48.9568766200,-57,37,21.776939789,13,35,32.1057822653,-57,22,07.712329784,309.2632903370717,+04.6654526528490,-10.047,-5.825,1.67,~,7.125,6.000,~,5.658,~,G5Ib
8042,HD 118978,*,13,42,01.0842903360,-58,47,13.515787716,13,42,01.0882242208,-58,47,13.515432342,13,38,40.9726641754,-58,32,05.176848977,309.4576163701804,+03.4423238281217,-28.080,-7.273,4.08,5.14,5.338,5.372,~,5.346,~,B9III
8043,HD 119283,*,13,43,57.3463346256,-59,14,09.546630324,13,43,57.3503111980,-59,14,09.546089981,13,40,35.5773583756,-58,59,04.592176151,309.6130499313441,+02.9528050257162,-31.206,-11.553,4.11,~,6.46,6.49,~,6.483,~,B8V
8044,HD 118384,*,13,38,07.62621,-58,24,52.7223,13,38,07.63011,-58,24,52.7223,13,34,49.67861,-58,09,36.3770,309.02892025,+03.90331972,-0.94,-26.33,6.31,~,7.601,6.454,~,~,~,K1III
8045,* bet Cen,bC*,14,03,49.40535,-60,22,22.9266,14,03,49.40943,-60,22,22.9241,14,00,16.49452,-60,07,58.0343,311.76696209,+01.25110442,-33.27,-23.16,8.32,~,~,0.58,~,~,~,B1III
8046,HD 121901,PM*,14,00,17.3911443816,-61,28,51.698057988,14,00,17.3953433450,-61,28,51.695961266,13,56,43.5843974318,-61,14,18.467637111,311.0544850150362,+00.3001427262665,-64.229,-34.725,16.86,~,6.793,6.469,~,6.411,~,F0/2III/IV
8047,NGC 5316,OpC,13,54,03.8,-61,52,59,13,54,03.8,-61,52,59,13,50,31.6,-61,38,14,310.2387,+00.0971,-6.297,-1.515,0.67,~,6.08,6.0,~,~,~,~
8048,HD 123151,RG*,14,08,14.2965565608,-63,12,28.621973484,14,08,14.3009475303,-63,12,28.619122766,14,04,31.3925732317,-62,58,16.385740443,311.4601983309193,-01.6149406802120,21.555,34.837,7.58,~,7.399,6.389,~,6.113,~,G8/K0III
8049,HD 126241,*,14,27,07.0866263736,-65,49,17.929103880,14,27,07.0913288454,-65,49,17.924477603,14,23,05.8625612332,-65,35,48.945509747,312.5244480051387,-04.7478350553677,-18.951,-14.376,2.91,~,7.333,5.828,~,5.341,~,K3III
8050,HD 125990,*,14,25,39.7468365888,-66,10,22.514844180,14,25,39.7515962625,-66,10,22.510353837,14,21,38.0510558925,-65,56,49.706163637,312.2590423862832,-05.0223836029318,-43.473,-15.722,8.06,~,6.479,6.362,~,6.343,~,A3V
8051,HD 129954,Be*,14,48,44.5499575944,-66,35,36.822442200,14,48,44.5546963462,-66,35,36.815821510,14,44,28.7500470162,-66,23,07.140764187,314.2209607721800,-06.3280535214923,-7.688,-10.720,2.41,5.14,5.767,5.880,~,5.910,~,B2V
8052,HD 128020,PM*,14,37,46.2568393591,-67,55,55.237030328,14,37,46.2618438886,-67,55,55.231415285,14,33,32.5938648492,-67,42,41.139580983,312.6863716920092,-07.0971346843106,-347.860,-280.807,36.02,~,6.54,6.04,~,5.915,~,F8.5VFe-0.6
8053,HD 130021,*,14,49,37.0459883640,-68,56,10.286249388,14,49,37.0511207797,-68,56,10.279549124,14,45,08.2376392593,-68,43,42.702928805,313.2538420578786,-08.4669882395063,-9.950,-13.276,2.93,5.76,6.380,6.488,~,6.467,~,B2V
8054,HD 130942,*,14,54,54.0348529176,-69,51,39.451308552,14,54,54.0401373787,-69,51,39.444129915,14,50,16.4288492419,-69,39,27.233452458,313.2488047825034,-09.5018991501302,-10.984,-13.795,2.26,~,6.30,6.37,~,6.352,~,B5V
8055,* gam TrA,PM*,15,18,54.5819834,-68,40,46.365362,15,18,54.5868933,-68,40,46.356061,15,14,12.5257968,-68,29,48.814462,315.7117909282,-09.5496460624,-66.58,-32.31,17.74,2.87,2.89,2.89,~,2.693,~,A1V
8056,V* X TrA,C*,15,14,19.1755012584,-70,04,46.113298104,15,14,19.1807051196,-70,04,46.104395839,15,09,29.0704254006,-69,53,34.465326151,314.6045190132577,-10.5161518623235,3.932,-8.402,2.86,15.88,9.19,5.81,~,4.254,~,C5,5
8057,HD 138965,PM*,15,40,11.5557598920,-70,13,40.379510928,15,40,11.5607841151,-70,13,40.368413491,15,35,07.6679966725,-70,03,54.163469681,316.3562572475058,-11.8898642103090,-41.150,-55.160,12.72,~,6.499,6.424,~,6.426,~,A1V
8058,HD 137366,*,15,30,49.1812877184,-71,39,14.886814896,15,30,49.1866938985,-71,39,14.876497806,15,25,37.3404061828,-71,28,57.288638837,314.8565726441880,-12.5759815238738,-6.541,-21.027,2.98,~,6.27,6.38,~,6.366,~,B3V
8059,HD 143346,HB*,16,05,55.8192885648,-72,24,03.242827080,16,05,55.8244925349,-72,24,03.229686079,16,00,19.2603457751,-72,15,57.295740391,316.5088659141944,-14.8784429036390,-32.468,70.299,11.39,~,6.865,5.685,~,5.380,~,K1.5IIICN1
8060,HD 154972,PM*,17,16,35.6484964584,-74,31,58.840731120,17,16,35.6530790282,-74,31,58.822900156,17,10,06.0741437349,-74,28,33.396237035,318.0046338404693,-20.1224911276112,-23.266,-53.910,9.70,~,6.224,6.227,~,6.233,~,A0V
8061,HD 169570,**,18,32,55.3416155304,-73,57,56.154006648,18,32,55.3445705280,-73,57,56.133008886,18,26,30.5915571389,-74,00,01.320358438,320.5771309793864,-24.7339660200080,9.195,-87.798,9.61,~,6.890,5.888,~,5.656,~,K0III
8062,HD 164712,PM*,18,11,15.8073245544,-75,53,29.483622420,18,11,15.8110027278,-75,53,29.463299397,18,04,16.0290807664,-75,53,48.521831883,318.1467828976231,-23.8532373418183,16.160,-296.819,14.27,~,7.10,5.86,~,5.484,~,K2III
8063,* phi Oct,*,18,23,36.4487369880,-75,02,39.397448688,18,23,36.4520120609,-75,02,39.376718460,18,16,53.1575197373,-75,04,08.764328704,319.2662676199134,-24.3755114098794,4.621,19.730,16.83,~,5.495,5.456,~,5.458,~,A0V
