#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
2757,HD 57118,s*y,07,19,01.9205824872,-19,16,49.101947436,07,19,01.9220663113,-19,16,49.123752138,07,16,50.1723673785,-19,11,15.031778818,233.1741088574593,-02.8464267051519,-2.605,3.757,0.35,7.09,6.662,6.094,7.29,5.894,~,F2Ia
2758,HD 57821,*,07,22,13.5290106,-19,00,59.764599,07,22,13.5305020,-19,00,59.786427,07,20,01.3416556,-18,55,12.041858,233.2943768446,-02.0565456425,-1.69,-6.91,6.78,4.53,4.893,4.950,~,4.896,~,B5II/III
2759,HD 58439,*,07,24,50.8826959368,-19,00,44.219184732,07,24,50.8841931261,-19,00,44.241029029,07,22,38.5982713266,-18,54,46.230232382,233.5831708976868,-01.5079731750083,-2.359,2.425,0.32,6.57,6.526,6.272,7.22,6.173,~,A2Ib/II
2760,HD 58585,*,07,25,19.9743544248,-21,58,57.321997680,07,25,19.9758478014,-21,58,57.343844643,07,23,11.3562638225,-21,52,57.298211355,236.2558351301143,-02.8129390909598,-2.806,3.887,0.68,~,6.251,6.038,~,5.974,~,A5/7II
2761,HD 58346,*,07,24,17.2339516704,-22,54,45.924912504,07,24,17.2354406712,-22,54,45.946753595,07,22,09.8542228512,-22,48,50.096821808,236.9633077076865,-03.4645322699262,-4.927,3.238,4.67,~,6.099,6.200,~,6.185,~,B8/9V
2762,HD 59136,*,07,27,42.9367354488,-22,51,33.085990656,07,27,42.9382337342,-22,51,33.107849299,07,25,35.3206994225,-22,45,23.013754727,237.2899099359423,-02.7434079605770,-1.401,-2.279,2.76,5.48,5.86,5.97,~,5.953,~,B5III
2763,HD 59612,*,07,29,51.4122982920,-23,01,27.444741492,07,29,51.4138021359,-23,01,27.466608615,07,27,43.9119679065,-22,55,09.003079749,237.6704171975490,-02.3887475481299,-2.831,4.172,0.75,5.27,5.10,4.86,4.58,4.765,4.38,A5/7Iab/II
2764,HD 58978,Be*,07,26,59.4826856664,-23,05,09.689679528,07,26,59.4841816747,-23,05,09.711534870,07,24,52.2091964447,-22,59,02.867330081,237.4105982647777,-02.9977959103223,-6.692,4.054,1.79,4.51,5.45,5.56,7.05,5.525,~,B0.5IVe
2765,HD 57146,*,07,18,51.2737383648,-26,35,09.081112236,07,18,51.2752031756,-26,35,09.102915509,07,16,49.0391879232,-26,29,35.425124045,239.6532571611032,-06.2627036129868,-9.099,4.105,1.88,~,6.258,5.288,~,5.024,~,G2Ib
2766,HD 58612,*,07,25,25.2677568912,-25,13,03.954312840,07,25,25.2692449842,-25,13,03.976160277,07,23,20.8578070355,-25,07,03.226614811,239.1243650988034,-04.3197999383720,-8.855,-0.039,2.23,5.3,5.671,5.782,~,5.760,~,B5III
