RA - Decimal,Dec - Decimal,Prop.motion RA,Prop.motion Dec,Mag V ,Red,Green,Blue,identifier             
100.9830260792,25.1311254122,-5.5700000000,-12.3600000000,2.98,1.0000,0.8541,0.7277,* eps Gem
146.4628054183,23.7742557872,-45.6100000000,-9.2100000000,2.98,0.8000,0.8000,0.8000,* eps Leo
182.5311690938,-22.6197672175,-71.7400000000,10.2500000000,2.98,1.0000,0.7992,0.6045,* eps Crv
252.9676181453,-38.0473994640,-10.4510000000,-18.3150000000,2.98,0.4701,0.5784,1.0000,* mu.01 Sco
75.4922265362,43.8233103098,0.8830000000,-3.0650000000,2.99,0.8520,0.8621,1.0000,* eps Aur
271.4520337450,-30.4240898494,-53.9200000000,-180.9000000000,2.99,1.0000,0.8330,0.6787,* gam02 Sgr
286.3525333979,13.8634772811,-7.2500000000,-95.5600000000,2.99,0.6109,0.6919,1.0000,* zet Aql
146.7755070833,-65.0720074167,-11.5100000000,4.7100000000,2.99,0.8520,0.8621,1.0000,* ups Car
266.8961713746,-40.1269970414,0.0100000000,-6.2400000000,2.992,0.8986,0.8925,1.0000,* iot01 Sco
95.0783001658,-30.0633667339,7.3200000000,4.0300000000,3,0.4799,0.5868,1.0000,* zet CMa
113.6504185500,31.8884919917,-206.3000000000,-148.2000000000,3,0.8000,0.8000,0.8000,* alf Gem B
32.3859463333,34.9872970556,149.1600000000,-39.1000000000,3,0.7260,0.7762,1.0000,* bet Tri
199.7304049400,-23.1715142781,68.9900000000,-41.8500000000,3,1.0000,0.8541,0.7277,* gam Hya
270.5979166667,3.2600000000,0.6370000000,-8.6680000000,3,0.8000,0.8000,0.8000,Cl Melotte 186
230.1821501629,71.8340165447,-17.7300000000,17.9000000000,3.002,0.6504,0.7215,1.0000,* gam UMi
55.7312677338,47.7875485092,25.5800000000,-43.0600000000,3.01,0.5229,0.6225,1.0000,* del Per
167.4158694850,44.4984866806,-62.0200000000,-27.4100000000,3.01,1.0000,0.8221,0.6541,* psi UMa
328.4821924842,-37.3648552706,98.0700000000,-13.2200000000,3.01,0.5496,0.6441,1.0000,* gam Gru
218.0194658183,38.3082511861,-115.7100000000,151.1600000000,3.02,0.7652,0.8035,1.0000,* gam Boo
105.7561338125,-23.8332923078,-2.2100000000,3.6100000000,3.02,0.5013,0.6047,1.0000,* omi02 CMa
84.4111892629,21.1425441122,1.7800000000,-20.0700000000,3.03,0.4701,0.5784,1.0000,* zet Tau
155.5822490246,41.4995191958,-81.4700000000,35.3400000000,3.05,1.0000,0.6789,0.3823,* mu. UMa
258.6619090833,14.3903406111,-7.3200000000,36.0700000000,3.06,0.8000,0.8000,0.8000,* alf Her
288.1387581854,67.6615404392,95.7400000000,91.9200000000,3.07,0.8000,0.8000,0.8000,* del Dra
254.6550507038,-55.9901445283,-17.8000000000,-36.6700000000,3.076,1.0000,0.7872,0.5797,* zet Ara
305.2527774924,-14.7814076021,44.1330000000,0.3600000000,3.08,0.8000,0.8000,0.8000,* bet01 Cap
