C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
8459;HD 214810A                                                            ;*  ;22 40 47.965668 -03 33 15.37413        ;22 40 47.967130 -03 33 15.35883        ;22 38 12.723734 -03 48 54.07835        ;064.270513202 -50.904891332        ;     -2.8 -48.1     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.98     ;6.46     ;     ~   ;     ~   ;~                    ;   4 ;   0
8460;HIP 83574                          * k Sco                            ;s*b;17 04 49.3516568736 -34 07 22.541680380;17 04 49.3537971361 -34 07 22.524524125;17 01 31.7264628096 -34 03 16.398166734;350.8287145937802 +04.2850424529547;   1.272 -2.049     ;0.9235    ;v     7.00    ;7.00        ;0.000023    ;7.00        ;4.44     ;5.13     ;4.87     ;4.59     ;4.42     ;B2Iab                ; 151 ;   0
8461;* 52 Ori B                                                            ;*  ;05 48 00.187485 +06 27 14.02667        ;05 48 00.189088 +06 27 14.00727        ;05 45 18.907870 +06 26 16.85916        ;199.751115554 -10.976584570        ;      1.9 -23.6     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.18     ;6.01     ;     ~   ;     ~   ;~                    ;   1 ;   0
8462;HIP 63608                          * eps Vir                          ;PM*;13 02 10.5978496 +10 57 32.941443      ;13 02 10.5990973 +10 57 32.938009      ;12 59 41.2092114 +11 13 38.883832      ;312.3250136687 +73.6347405988      ;  -273.80 19.96     ;29.76     ;v   -14.29    ;-14.29      ;-0.000048   ;-14.29      ;4.45     ;3.71     ;2.79     ;2.16     ;1.71     ;G8III-IIIb           ; 545 ;   0
8463;HIP 94437                          HD 179497                          ;V* ;19 13 15.5228827 -12 16 57.300201      ;19 13 15.5244440 -12 16 57.278449      ;19 10 27.8131819 -12 22 04.940034      ;024.3395001900 -10.3508405983      ;   11.76 -30.27     ;6.02      ;v   -17.5     ;-17.5       ;-0.000058   ;-17.50      ;     ~   ;6.95     ;5.51     ;     ~   ;     ~   ;K3III                ;  26 ;   0
8464;HIP 87308                          HD 162555                          ;PM*;17 50 22.8923622456 +29 19 19.709131008;17 50 22.8935171943 +29 19 19.728631685;17 48 26.4894908654 +29 20 03.607269421;054.4231755387344 +25.3147582377379;  30.646 46.952     ;13.3676   ;v   -15.12    ;-15.12      ;-0.000050   ;-15.12      ;     ~   ;6.588    ;5.517    ;     ~   ;     ~   ;K1III                ;  55 ;   0
8465;HIP 27581                          * 135 Tau                          ;*  ;05 50 28.9084011720 +14 18 20.185602120;05 50 28.9100964518 +14 18 20.166097101;05 47 38.1308611205 +14 17 34.211940802;193.1614410411591 -06.5462716869561;  8.707 -37.686     ;11.5734   ;v    45.191799;45.191799   ;0.000151    ;45.20       ;     ~   ;6.53     ;5.52     ;     ~   ;     ~   ;G9III:               ;  38 ;   0
8466;HIP 38500                          HD 64740                           ;*  ;07 53 03.6353775 -49 36 46.952967      ;07 53 03.6370146 -49 36 46.974804      ;07 51 39.0853023 -49 28 55.765935      ;263.3798884490 -11.1935873413      ;    -7.77 15.16     ;4.30      ;v     8.00    ;8.00        ;0.000027    ;8.00        ;3.48     ;4.40     ;4.63     ;4.76     ;4.97     ;B2V                  ; 206 ;   0
8467;HD 218395A                                                            ;*  ;23 07 27.728 +32 49 31.25              ;23 07 27.730 +32 49 31.26              ;23 05 03.987 +32 33 17.11              ;098.923009 -25.153564              ;    -16.9 -10.9     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.43     ;6.34     ;7.16     ;     ~   ;A3Vn                 ;   3 ;   0
8468;HIP 77984                          * 4 Sco                            ;*  ;15 55 30.0735638472 -26 15 57.537358092;15 55 30.0756852167 -26 15 57.525026617;15 52 28.4254702748 -26 07 12.376265724;346.5212530133691 +20.6375494755791;-41.061 -27.005     ;9.4873    ;v   -29.00    ;-29.00      ;-0.000097   ;-29.00      ;     ~   ;5.753    ;5.625    ;     ~   ;     ~   ;A3V                  ;  31 ;   0
8469;HIP 28237                          * 139 Tau                          ;Em*;05 57 59.6563212 +25 57 14.079839      ;05 57 59.6581488 +25 57 14.060019      ;05 54 53.4144015 +25 56 58.606053      ;183.9654984200 +00.8388416595      ;    -2.06 -1.95     ;2.10      ;v     8.00    ;8.00        ;0.000027    ;8.00        ;3.82     ;4.76     ;4.82     ;4.76     ;4.87     ;B0/1II/III           ; 277 ;   0
8470;HIP 39847                          * 27 Lyn                           ;PM*;08 08 27.4463215 +51 30 24.005467      ;08 08 27.4476074 +51 30 23.983774      ;08 04 42.3325794 +51 39 09.888418      ;167.1919820361 +32.6541146637      ;   -60.95 -3.11     ;13.04     ;v    11.00    ;11.00       ;0.000037    ;11.00       ;     ~   ;4.819    ;4.797    ;     ~   ;4.71     ;A2V                  ;  78 ;   0
8471;HIP 90496                          * lam Sgr                          ;PM*;18 27 58.2407185 -25 25 18.114589      ;18 27 58.2424546 -25 25 18.093729      ;18 24 53.0554868 -25 27 04.149211      ;007.6602939458 -06.5217676104      ; -44.76 -185.66     ;41.72     ;v   -43.20    ;-43.20      ;-0.000144   ;-43.20      ;4.75     ;3.85     ;2.81     ;2.06     ;1.50     ;K1IIIb               ; 273 ;   0
8472;HIP 33575                          HD 52018                           ;*  ;06 58 35.8988362752 -25 24 50.953342860;06 58 35.9002434821 -25 24 50.974897375;06 56 32.8949818104 -25 20 42.135812895;236.5528547137022 -09.8214320783760;   -7.275 5.667     ;2.8786    ;v    28.00    ;28.00       ;0.000093    ;28.00       ;     ~   ;5.420    ;5.583    ;     ~   ;     ~   ;B2V                  ;  55 ;   0
8473;HIP 83235                          HD 153368                          ;HB*;17 00 36.9893848320 -35 56 02.883388272;17 00 36.9915828936 -35 56 02.866484162;16 57 16.5731193174 -35 51 35.705149855;348.8624283541910 +03.8667391450739; -5.601 -64.872     ;9.2473    ;v    17.67    ;17.67       ;0.000059    ;17.67       ;     ~   ;7.110    ;5.934    ;     ~   ;     ~   ;K2IIICNII            ;  21 ;   0
8474;HIP 14131                          * tet Hyi                          ;** ;03 02 15.4488409848 -71 54 08.839047780;03 02 15.4462000266 -71 54 08.846886146;03 02 08.2348317413 -72 05 51.850879987;289.9280268047755 -41.7636136226860;  27.256 16.598     ;6.4996    ;v    12.30    ;12.30       ;0.000041    ;12.30       ;     ~   ;5.365    ;5.499    ;     ~   ;     ~   ;B8III/IV             ;  94 ;   0
8475;HIP 7506                           HD 10052                           ;V* ;01 36 44.7892332360 -58 16 15.545996184;01 36 44.7884006361 -58 16 15.545848251;01 34 54.9676205082 -58 31 31.953421027;291.7356007816953 -57.8615213689726;   26.658 3.872     ;3.7256    ;v     0.40    ;0.40        ;0.000001    ;0.40        ;     ~   ;7.779    ;6.205    ;     ~   ;     ~   ;M3III                ;  22 ;   0
8476;HIP 62081                          HD 110575                          ;*  ;12 43 26.2636926480 -40 10 40.255048920;12 43 26.2664160072 -40 10 40.260236795;12 40 42.1353036665 -39 54 13.985618741;301.2759787464592 +22.6681747418696; 28.029 -13.085     ;14.1137   ;v    -4.60    ;-4.60       ;-0.000015   ;-4.60       ;     ~   ;6.683    ;6.430    ;     ~   ;     ~   ;A7III                ;  28 ;   0
8477;HIP 74047                          HD 133456                          ;V* ;15 07 56.7625704600 -65 16 31.623254292;15 07 56.7670258942 -65 16 31.614911296;15 03 38.2005953164 -65 05 00.532230924;316.5816020688962 -06.0872089667868;   8.820 -5.232     ;5.2332    ;v    -3.14    ;-3.14       ;-0.000010   ;-3.14       ;     ~   ;7.639    ;6.166    ;     ~   ;     ~   ;K3III                ;  11 ;   0
8478;HIP 115152                         * 11 And                           ;PM*;23 19 29.8077401832 +48 37 31.163086704;23 19 29.8106284522 +48 37 31.175543580;23 17 09.5767374452 +48 21 03.026552769;107.6601367378991 -11.5011539202825;  22.130 52.573     ;11.3828   ;v     9.99    ;9.99        ;0.000033    ;9.99        ;     ~   ;6.453    ;5.440    ;     ~   ;     ~   ;K0III                ;  65 ;   0
8479;HIP 117445                         HD 223346                          ;*  ;23 48 49.3661205096 +02 12 51.893384976;23 48 49.3676972714 +02 12 51.903444290;23 46 15.7008392505 +01 56 12.838916037;093.2545213407997 -57.0051289852401;  9.646 -34.672     ;17.4405   ;v   -17.96    ;-17.96      ;-0.000060   ;-17.96      ;     ~   ;6.910    ;6.457    ;     ~   ;     ~   ;F5V                  ;  60 ;   0
8480;HIP 35213                          HD 56578                           ;PM*;07 16 38.3560900512 -23 18 39.427617168;07 16 38.3575574080 -23 18 39.449401502;07 14 31.9235357395 -23 13 16.941845108;236.4970781289420 -05.2066090248214; -33.211 41.583     ;9.4058    ;v    36.90    ;36.90       ;0.000123    ;36.90       ;     ~   ;6.21     ;5.79     ;     ~   ;     ~   ;A5mA5-A9             ;  26 ;   0
8481;HIP 78955                          HD 144585                          ;PM*;16 07 03.3696573456 -14 04 16.671141984;16 07 03.3714752999 -14 04 16.657915193;16 04 15.8575239164 -13 56 17.603050276;358.1819811414951 +27.1670361177885; -261.591 9.683     ;36.2249   ;v   -14.055   ;-14.055     ;-0.000047   ;-14.05      ;7.22     ;6.98     ;6.32     ;     ~   ;     ~   ;G2V                  ; 184 ;   0
8482;HIP 25187                          HD 35281A                          ;Pu*;05 23 18.5101256617 -08 24 56.140376752;05 23 18.5115324339 -08 24 56.158571603;05 20 54.5570621580 -08 27 41.017888373;210.4990969183864 -23.3908124120050;  -2.113 -2.759     ;7.0900    ;v    14.00    ;14.00       ;0.000047    ;14.00       ;5.6      ;6.04     ;6.15     ;     ~   ;     ~   ;B8III                ;  35 ;   0
8483;HIP 116971                         * ome02 Aqr                        ;Er*;23 42 43.3453038933 -14 32 41.659905000;23 42 43.3464991837 -14 32 41.649332055;23 40 07.8224413334 -14 49 17.419955265;067.6602680418701 -69.6437501683069; 98.578 -66.231     ;20.8948   ;v    -0.12    ;-0.12       ;-0.000000   ;-0.12       ;     ~   ;4.448    ;4.484    ;     ~   ;     ~   ;B9V                  ; 141 ;   0
8484;HIP 78914                          * del Nor                          ;*  ;16 06 29.4516604824 -45 10 23.808085716;16 06 29.4543585126 -45 10 23.794901962;16 02 56.9962132136 -45 02 22.602151042;335.0926741784259 +05.1733056209626; -18.440 41.784     ;31.0627   ;v   -15.5     ;-15.5       ;-0.000052   ;-15.50      ;     ~   ;4.951    ;4.713    ;     ~   ;     ~   ;kA3hA7mF0III:        ;  76 ;   0
8485;NGC 2669                                                              ;OpC;08 46 26.6 -52 55 52                   ;08 46 26.6 -52 55 52                   ;08 44 59.0 -52 44 49                   ;270.8288 -06.0726                  ;   -4.136 4.649     ;0.845     ;v    21.940   ;21.940      ;0.000073    ;21.94       ;     ~   ;6.35     ;6.1      ;     ~   ;     ~   ;~                    ;  63 ;   0
8486;HIP 30318                          HD 44497                           ;PM*;06 22 36.3924256056 +12 34 12.853157052;06 22 36.3940577574 +12 34 12.832457618;06 19 47.9850778846 +12 35 47.042091003;198.4812758746611 -00.5586824813829;-52.676 -32.592     ;15.5814   ;v    20.9     ;20.9        ;0.000070    ;20.90       ;6.350    ;6.300    ;6.000    ;     ~   ;     ~   ;F0III                ;  43 ;   0
8487;HIP 65289                          HD 115967                          ;EB*;13 22 52.6042523475 -72 08 48.182782972;13 22 52.6102979134 -72 08 48.184254047;13 19 07.8536394866 -71 53 06.898014952;305.3676037233099 -09.4238084924771;-24.318 -13.352     ;4.2442    ;v    33.00    ;33.00       ;0.000110    ;33.00       ;     ~   ;6.10     ;6.05     ;     ~   ;     ~   ;B5V                  ;  45 ;   0
8488;HIP 8993                           * 7 Ari                            ;V* ;01 55 51.0384466152 +23 34 38.335528668;01 55 51.0406080602 +23 34 38.333854211;01 53 03.3616234606 +23 19 59.007961531;141.4833550455658 -36.9631275132648;  11.572 -8.569     ;6.1023    ;v    15.95    ;15.95       ;0.000053    ;15.95       ;     ~   ;6.938    ;5.749    ;     ~   ;     ~   ;G8III                ;  44 ;   0
8489;HIP 68191                          HD 121474                          ;PM*;13 57 38.8835769912 -63 41 12.113940624;13 57 38.8880430747 -63 41 12.112095108;13 54 00.3498312873 -63 26 33.200790896;310.1904668644495 -01.7519285183989;-40.640 -33.433     ;15.2855   ;v    21.90    ;21.90       ;0.000073    ;21.90       ;     ~   ;5.802    ;4.701    ;     ~   ;     ~   ;K1.5IIIb:            ;  49 ;   0
8490;HIP 13701                          * eta Eri                          ;PM*;02 56 25.6494839 -08 53 53.322099      ;02 56 25.6507953 -08 53 53.329415      ;02 53 58.9628886 -09 05 45.779210      ;187.1559388422 -55.3112585221      ;  77.36 -220.16     ;23.89     ;v   -20.32    ;-20.32      ;-0.000068   ;-20.32      ;5.97     ;4.99     ;3.87     ;3.08     ;2.50     ;K1+IIIb              ; 188 ;   0
8491;HIP 33449                          * 15 Lyn                           ;** ;06 57 16.6052608 +58 25 21.940435      ;06 57 16.6072100 +58 25 21.918903      ;06 52 57.1282343 +58 29 26.744266      ;157.7696098416 +23.5994656433      ;   6.08 -122.83     ;18.29     ;v     1.28    ;1.28        ;0.000004    ;1.28        ;5.71     ;5.20     ;4.35     ;3.70     ;3.26     ;G5III-IV             ; 119 ;   0
8492;HIP 26616                          HD 37439                           ;*  ;05 39 27.1151480520 +21 45 46.627409556;05 39 27.1169633625 +21 45 46.608404279;05 36 26.8385843545 +21 44 12.103512515;185.3805600743533 -04.9512165316438;  1.948 -35.338     ;5.3437    ;v    16.00    ;16.00       ;0.000053    ;16.00       ;6.540    ;6.500    ;6.430    ;     ~   ;     ~   ;A1Vn                 ;  27 ;   0
8493;HIP 77801                          * 39 Ser                           ;SB*;15 53 12.0971773368 +13 11 47.854440914;15 53 12.0984195069 +13 11 47.866590393;15 50 52.2102196488 +13 21 06.817866020;024.0578214234573 +45.4029986619865;-150.618 -561.240   ;56.2405   ;v    39.88    ;39.88       ;0.000133    ;39.88       ;6.72     ;6.71     ;6.12     ;5.58     ;5.23     ;G1VFe-1              ; 195 ;   0
8494;HIP 91975                          * 4 Aql                            ;Be*;18 44 49.9381980 +02 03 36.136039      ;18 44 49.9397125 +02 03 36.157328      ;18 42 18.4569660 +02 00 27.497231      ;034.0135371705 +02.4084256230      ;    8.88 -15.27     ;7.01      ;v   -13.00    ;-13.00      ;-0.000043   ;-13.00      ;     ~   ;4.948    ;5.005    ;     ~   ;     ~   ;B9IIIe               ;  98 ;   0
8495;HIP 33094                          HD 50806                           ;PM*;06 53 33.9425265992 -28 32 23.259823557;06 53 33.9438994024 -28 32 23.281290069;06 51 34.4703584989 -28 28 13.359953518;238.9572206602378 -12.1572944680961;282.212 -441.741    ;38.7983   ;v    72.416   ;72.416      ;0.000242    ;72.42       ;     ~   ;6.75     ;6.04     ;     ~   ;     ~   ;G5V                  ; 149 ;   0
8496;HIP 417                            HD 6                               ;PM*;00 05 03.8227507152 -00 30 10.928616408;00 05 03.8242656191 -00 30 10.919958278;00 02 29.9210916664 -00 46 50.398113216;098.3277455059774 -61.1398140395086; 45.245 -53.594     ;6.9277    ;v    15.364900;15.364900   ;0.000051    ;15.37       ;     ~   ;7.390    ;6.298    ;     ~   ;     ~   ;K0III                ;  49 ;   0
8497;HIP 96825                          HD 186155                          ;PM*;19 40 50.1834564055 +45 31 29.788145729;19 40 50.1849995418 +45 31 29.810026341;19 39 17.5308978228 +45 24 20.041413212;078.7160609648779 +11.0702573052533; 84.372 119.748     ;19.7519   ;v   -21.90    ;-21.90      ;-0.000073   ;-21.90      ;     ~   ;5.47     ;5.06     ;     ~   ;     ~   ;F5II-III             ;  78 ;   0
8498;HIP 112832                         HD 216149                          ;*  ;22 51 02.1589579824 -39 09 24.608634876;22 51 02.1595992776 -39 09 24.594045579;22 48 11.7816894336 -39 25 19.793826671;359.5671773334017 -62.2490390820593;  17.775 -7.583     ;3.6273    ;v    26.52    ;26.52       ;0.000088    ;26.52       ;     ~   ;6.851    ;5.400    ;     ~   ;     ~   ;K3III                ;  56 ;   0
8499;HIP 38438                          V* V372 Car                        ;bC*;07 52 29.7416381280 -54 22 01.788879000;07 52 29.7432908094 -54 22 01.810718969;07 51 18.1740915810 -54 14 12.030487733;267.6149182386014 -13.5386682291252;   -4.642 8.605     ;2.4079    ;v    18.00    ;18.00       ;0.000060    ;18.00       ;4.64     ;5.529    ;5.680    ;     ~   ;     ~   ;B2IV                 ;  77 ;   0
8500;HIP 46735                          * 8 LMi                            ;PM*;09 31 32.4104466840 +35 06 11.779352748;09 31 32.4114870537 +35 06 11.760088187;09 28 30.1881190560 +35 19 31.689699488;189.4726766801987 +46.9271567576656;-54.488 -97.434     ;6.6271    ;v    40.11    ;40.11       ;0.000134    ;40.11       ;8.71     ;6.90     ;5.37     ;     ~   ;     ~   ;M1III                ;  36 ;   0
8501;HIP 93299                          V* LV Dra                          ;a2*;19 00 13.6777912704 +50 32 00.478630500;19 00 13.6790249929 +50 32 00.500211287;18 58 58.1694561525 +50 27 42.654712104;080.6380176411418 +19.2885754335783;    7.185 2.659     ;5.1058    ;v   -20.50    ;-20.50      ;-0.000068   ;-20.50      ;4.42     ;5.202    ;5.377    ;     ~   ;     ~   ;B2.5IV               ; 106 ;   0
8502;* i Ori A                                                             ;PM*;05 07 52.885533 +08 29 54.36326        ;05 07 52.887193 +08 29 54.34592        ;05 05 09.397298 +08 26 05.64025        ;192.671475084 -18.478160903        ;     21.7 -61.4     ;      ~   ;v    10.69    ;10.69       ;0.000036    ;10.69       ;     ~   ;6.03     ;5.72     ;     ~   ;     ~   ;~                    ;   9 ;   0
8503;HIP 15900                          * omi Tau                          ;SB*;03 24 48.7983185016 +09 01 43.930632036;03 24 48.8000523839 +09 01 43.920824167;03 22 07.1229925669 +08 51 15.103211713;174.1178457417109 -38.1565218377740;-66.384 -74.413     ;15.0788   ;v   -19.79    ;-19.79      ;-0.000066   ;-19.79      ;5.090    ;4.490    ;3.600    ;2.92     ;2.47     ;G6III                ; 226 ;   0
8504;HIP 103527                         * 18 Del                           ;PM*;20 58 25.9335294984 +10 50 21.430869504;20 58 25.9351518534 +10 50 21.451427360;20 56 01.3960477841 +10 38 43.095530123;058.6914752751852 -21.9748851645089;-49.921 -34.509     ;13.3021   ;v     4.35    ;4.35        ;0.000015    ;4.35        ;     ~   ;6.432    ;5.506    ;     ~   ;     ~   ;G6III                ;  92 ;   1
8505;HIP 59389                          HD 105822                          ;*  ;12 11 01.2152812464 -68 15 39.507163416;12 11 01.2202043671 -68 15 39.515296372;12 08 20.4082363402 -67 58 57.188134461;299.1877689585219 -05.6835373436739;  3.883 -13.155     ;3.3692    ;v     6.07    ;6.07        ;0.000020    ;6.07        ;     ~   ;7.84     ;6.48     ;     ~   ;     ~   ;K0/1III              ;  13 ;   0
8506;HIP 104771                         HD 202128                          ;** ;21 13 28.7887833408 +15 58 56.719538400;21 13 28.7904785896 +15 58 56.739560126;21 11 07.5919982268 +15 46 32.555884870;065.4910845925636 -21.8030554967685; 34.231 -29.977     ;6.9104    ;v   -28.60    ;-28.60      ;-0.000095   ;-28.60      ;     ~   ;6.496    ;6.252    ;     ~   ;     ~   ;A7Vn                 ; 106 ;   0
8507;HIP 35589                          HD 57917                           ;*  ;07 20 38.8057732104 -52 05 09.320821944;07 20 38.8071557854 -52 05 09.342639048;07 19 25.6013475801 -51 59 26.390710152;263.3701295280542 -16.8717752720855;   -8.673 0.381     ;6.2646    ;v    18.00    ;18.00       ;0.000060    ;18.00       ;     ~   ;5.293    ;5.367    ;     ~   ;     ~   ;B9II/III             ;  30 ;   0
8508;HIP 73706                          HD 133994                          ;*  ;15 03 57.7662822264 +65 55 10.971146028;15 03 57.7647700934 +65 55 10.979136190;15 03 11.6273070899 +66 06 48.723764871;104.1762053222052 +46.0870275512223;  23.503 -8.977     ;6.6941    ;v    -4.6     ;-4.6        ;-0.000015   ;-4.60       ;6.350    ;6.280    ;6.230    ;     ~   ;     ~   ;A2Vs                 ;  26 ;   0
8509;HIP 46974                          * h Car                            ;*  ;09 34 26.6508147 -59 13 47.107031      ;09 34 26.6535306 -59 13 47.126163      ;09 32 59.5617990 -59 00 22.328656      ;280.0207560419 -05.4267004685      ;    -10.74 6.60     ;2.46      ;v    18.20    ;18.20       ;0.000061    ;18.20       ;3.58     ;4.09     ;4.09     ;4.00     ;4.01     ;B5II                 ;  76 ;   0
8510;HIP 71762                          * pi.01 Boo                        ;*  ;14 40 43.5589117488 +16 25 05.975961096;14 40 43.5600244110 +16 25 05.981848356;14 38 22.4524613123 +16 37 54.131009880;015.6424163840681 +62.5412327514110;  13.922 15.566     ;10.3357   ;v    -1.10    ;-1.10       ;-0.000004   ;-1.10       ;4.18     ;4.792    ;4.893    ;4.47     ;4.49     ;B9IIIpHgMnSi         ; 199 ;   0
8511;HIP 17771                          * e Tau                            ;V* ;03 48 16.2652935059 +11 08 35.885447327;03 48 16.2670625375 +11 08 35.873692157;03 45 31.5105859675 +10 59 27.167604815;177.1711471543704 -32.5339758373371; 25.269 -23.695     ;7.7426    ;v    16.20    ;16.20       ;0.000054    ;16.20       ;4.34     ;4.94     ;5.07     ;     ~   ;     ~   ;B3V                  ; 123 ;   0
8512;HIP 117340                         HD 223229                          ;V* ;23 47 33.0491881873 +46 49 57.221688449;23 47 33.0520920193 +46 49 57.231855456;23 45 03.5131588910 +46 33 17.272073066;111.7124425860183 -14.6427156120113;   0.708 -5.845     ;1.9698    ;v    -9.30    ;-9.30       ;-0.000031   ;-9.30       ;5.25     ;5.99     ;6.13     ;     ~   ;     ~   ;B3IV                 ;  58 ;   0
8513;HIP 114607                         HD 219110                          ;*  ;23 13 03.9859623096 +29 26 29.494400604;23 13 03.9881525017 +29 26 29.507357275;23 10 38.1537665899 +29 10 11.387921829;098.5205672873376 -28.7255325915532;-30.074 -39.554     ;8.551     ;v    -0.06    ;-0.06       ;-0.000000   ;-0.06       ;     ~   ;7.266    ;6.331    ;     ~   ;     ~   ;G8III                ;  15 ;   0
8514;HIP 24479                          HD 33618                           ;*  ;05 15 11.4020613192 +59 24 20.477331000;05 15 11.4050304003 +59 24 20.459578079;05 10 47.0393196087 +59 20 57.017359289;151.2980078244239 +11.9947855550977; 20.091 -12.413     ;9.0437    ;v    -0.472572;-0.472572   ;-0.000002   ;-0.47       ;     ~   ;7.333    ;6.135    ;     ~   ;     ~   ;K2III-IV             ;  44 ;   0
8515;HIP 45038                          * sig02 UMa                        ;** ;09 10 23.54597 +67 08 02.4642          ;09 10 23.54615 +67 08 02.4441          ;09 06 01.22263 +67 20 20.4225          ;146.87606690 +38.11310440          ;   13.13 -90.93     ;49.07     ;v    -2.98    ;-2.98       ;-0.000010   ;-2.98       ;     ~   ;5.29     ;4.80     ;     ~   ;     ~   ;F7V                  ; 169 ;   0
8516;HIP 95673                          HD 183362                          ;Be*;19 27 36.3966416760 +37 56 28.307118120;19 27 36.3981153161 +37 56 28.328976280;19 25 50.9286914121 +37 50 18.286615942;070.7133782269524 +09.7909545617491;  -0.316 -4.691     ;1.7801    ;v   -27.70    ;-27.70      ;-0.000092   ;-27.70      ;5.46     ;6.20     ;6.34     ;     ~   ;     ~   ;B3Ve                 ; 110 ;   0
8517;HIP 100345                         * bet01 Cap                        ;SB*;20 21 00.6665981712 -14 46 53.067367488;20 21 00.6680535102 -14 46 53.045864497;20 18 12.1925974422 -14 56 26.589353113;029.1496821413666 -26.3700830508416;   44.133 0.360     ;8.3966    ;v   -19.00    ;-19.00      ;-0.000063   ;-19.00      ;4.14     ;3.87     ;3.08     ;2.53     ;2.03     ;G9II:+B8p:Si:        ; 178 ;   0
8518;HIP 109654                         HD 210889                          ;PM*;22 12 47.8242890424 +34 36 16.527575880;22 12 47.8264440095 +34 36 16.544671047;22 10 34.8624910787 +34 21 26.760444505;089.4548135631562 -17.7571981944933; 18.657 -49.828     ;11.7066   ;v    -7.37    ;-7.37       ;-0.000025   ;-7.37       ;     ~   ;6.482    ;5.343    ;     ~   ;     ~   ;K2-IIIb              ;  68 ;   0
8519;HIP 110532                         HD 212320                          ;*  ;22 23 32.1500037504 -07 11 39.884201448;22 23 32.1514088574 -07 11 39.867764837;22 20 54.8201018498 -07 26 52.643082892;055.6592174631180 -49.6862301078838;    1.478 5.688     ;7.0235    ;v   -14.2     ;-14.2       ;-0.000047   ;-14.20      ;     ~   ;6.913    ;5.907    ;     ~   ;     ~   ;G8Ib/II(w)           ;  65 ;   0
8520;HIP 51933                          HD 91889                           ;PM*;10 36 32.3819362122 -12 13 48.440040258;10 36 32.3836847505 -12 13 48.455631247;10 34 02.8957715051 -11 57 40.213016562;258.7938322664871 +38.8161226788955;267.100 -672.845    ;40.3975   ;v    -6.02    ;-6.02       ;-0.000020   ;-6.02       ;     ~   ;6.22     ;5.71     ;     ~   ;     ~   ;F8V                  ; 178 ;   0
8521;HIP 88380                          * 7 Sgr                            ;*  ;18 02 51.0986253456 -24 16 56.882232732;18 02 51.1004182410 -24 16 56.862221046;17 59 47.1663990494 -24 17 01.763869907;005.9624682762426 -00.9637029372205;  1.096 -17.329     ;2.87      ;v    -5.62    ;-5.62       ;-0.000019   ;-5.62       ;     ~   ;5.86     ;5.34     ;     ~   ;     ~   ;F2II-III             ;  72 ;   0
8522;HIP 93990                          V* TT Aql                          ;cC*;19 08 13.7497129848 +01 17 55.147982640;19 08 13.7512353254 +01 17 55.169676561;19 05 41.3747470202 +01 13 06.695537148;036.0056325832759 -03.1411624564173;  -0.277 -4.673     ;0.9627    ;v     3.00    ;3.00        ;0.000010    ;3.00        ;8.96     ;7.86     ;6.50     ;     ~   ;5.699    ;G0/2Ib               ; 276 ;   0
8523;HIP 37223                          * e Pup                            ;*  ;07 38 43.8986356728 -36 29 48.598167516;07 38 43.9001643917 -36 29 48.620049433;07 36 55.1050980820 -36 22 53.939950335;250.4636973028111 -07.1585647405940;   -7.547 5.591     ;2.789     ;v    19.00    ;19.00       ;0.000063    ;19.00       ;4.94     ;5.64     ;5.80     ;     ~   ;     ~   ;B3III                ;  66 ;   0
8524;NGC 654                                                               ;OpC;01 44 01.9 +61 52 59                   ;01 44 01.9 +61 52 59                   ;01 40 34.5 +61 37 55                   ;129.0862 -00.3587                  ;  -1.086 -0.265     ;0.313     ;v   -38.80    ;-38.80      ;-0.000129   ;-38.80      ;     ~   ;7.34     ;6.5      ;     ~   ;     ~   ;~                    ; 195 ;   0
8525;HIP 109023                         HD 209761                          ;*  ;22 05 11.3344094040 +26 40 25.285361988;22 05 11.3363742844 +26 40 25.302901097;22 02 53.6338876974 +26 25 47.206111155;082.8475486411934 -22.9766881245699;  28.841 30.053     ;7.3919    ;v   -28.71    ;-28.71      ;-0.000096   ;-28.71      ;     ~   ;7.016    ;5.744    ;     ~   ;     ~   ;K3III                ;  40 ;   0
8526;HIP 98624                          * mu.02 Pav                        ;PM*;20 01 52.4617617696 -66 56 38.271651288;20 01 52.4629364466 -66 56 38.249885034;19 57 01.7246385657 -67 04 53.860671326;328.9456140221574 -31.6685025168966; 38.596 -70.984     ;13.6039   ;v    42.26    ;42.26       ;0.000141    ;42.26       ;     ~   ;6.546    ;5.331    ;     ~   ;     ~   ;K2IVCNII             ;  34 ;   0
